"","county","year","month","temp","sd_temp"
"2016","Essex",2015,6,15.6677966101695,3.6610221239979
"2017","Essex",2015,7,19.2096774193548,3.07414973863462
"2018","Essex",2015,8,18.9258064516129,2.6417788023628
"2019","Essex",2015,9,16.9683333333333,4.25464817269846
"2020","Essex",2015,10,6.50806451612903,4.26796294125202
"2021","Essex",2015,11,3.8275,4.45529037079915
"2022","Essex",2015,12,1.78064516129032,3.93346669398396
"2023","Essex",2016,1,-7.23064516129032,5.01416317682509
"2024","Essex",2016,2,-5.37068965517241,7.73389687800013
"2025","Essex",2016,3,0.437903225806452,5.64810054741945
"2026","Essex",2016,4,3.32166666666667,5.99732543967547
"2027","Essex",2016,5,12.4709677419355,5.75469550537629
"2028","Essex",2016,6,16.3583333333333,3.592142633661
"2029","Essex",2016,7,19.8274193548387,2.83124657448285
"2030","Essex",2016,8,20.2133333333333,2.6655025707739
"2031","Essex",2016,9,15.6591666666667,4.11912130323137
"2032","Essex",2016,10,8.36209677419355,5.41523114172886
"2033","Essex",2016,11,3.17916666666667,3.69094507747972
"2034","Essex",2016,12,-4.02177419354839,4.98486743635291
"2035","Essex",2017,1,-4.23306451612903,5.96540534637749
"2036","Essex",2017,2,-3.40267857142857,5.70992293884361
"2037","Essex",2017,3,-4.43951612903226,6.11723671341336
"2038","Essex",2017,4,7.90833333333333,4.77592982043471
"2039","Essex",2017,5,11.4590163934426,4.30551495368364
"2040","Essex",2017,6,16.8891666666667,4.21679543024854
"2041","Essex",2017,7,19.0346774193548,2.2925500997382
"2042","Essex",2017,8,17.7129032258064,3.0397898908716
"2043","Essex",2017,9,15.9475,4.47160935841195
"2044","Essex",2017,10,11.1991935483871,3.89381068287302
"2045","Essex",2017,11,-0.267424242424242,4.43147390330925
"2046","Essex",2017,12,-7.19166666666667,7.18827696722767
"2047","Franklin",2007,1,-8.72204301075269,9.50141998073466
"2048","Franklin",2007,2,-12.747619047619,4.57244829597797
"2049","Franklin",2007,3,-4.45760869565217,8.65530052545015
"2050","Franklin",2007,4,3.23222222222222,5.22546869631135
"2051","Franklin",2007,5,10.997311827957,5.26055029766992
"2052","Franklin",2007,6,17.0166666666667,4.28551256882162
"2053","Franklin",2007,7,17.7516129032258,3.010863046256
"2054","Franklin",2007,8,17.8673913043478,3.86622053843177
"2055","Franklin",2007,9,14.51,4.46190617803345
"2056","Franklin",2007,10,10.2682795698925,4.88707693012818
"2057","Franklin",2007,11,-0.821666666666667,4.67109237037594
"2058","Franklin",2007,12,-7.0736559139785,5.17176485412909
"2059","Franklin",2008,1,-6.36195652173913,7.77454768680163
"2060","Franklin",2008,2,-8.34540229885057,6.12353747220371
"2061","Franklin",2008,3,-5.58709677419355,4.84071782779776
"2062","Franklin",2008,4,7.11931818181818,5.84210062902597
"2063","Franklin",2008,5,9.30537634408602,3.16833400164125
"2064","Franklin",2008,6,17.5898876404494,3.81165363016143
"2065","Franklin",2008,7,18.6994623655914,2.2691036180718
"2066","Franklin",2008,8,16.7827956989247,2.89802682706977
"2067","Franklin",2008,9,14.0522222222222,4.63339678775292
"2068","Franklin",2008,10,5.89673913043478,4.65585891290893
"2069","Franklin",2008,11,0.236111111111111,6.82890842848213
"2070","Franklin",2008,12,-6.52903225806452,7.10469579321772
"2071","Franklin",2009,1,-13.0715053763441,5.34985472095242
"2072","Franklin",2009,2,-7.5780487804878,5.94975410613893
"2073","Franklin",2009,3,-2.54408602150538,6.76681821649796
"2074","Franklin",2009,4,5.20337078651685,5.19861103473808
"2075","Franklin",2009,5,10.7763440860215,3.4891492624951
"2076","Franklin",2009,6,14.9258333333333,3.63703282475723
"2077","Franklin",2009,7,17.4412087912088,2.64400362882792
"2078","Franklin",2009,8,18.058064516129,3.74664553099474
"2079","Franklin",2009,9,12.4616666666667,3.17396404403216
"2080","Franklin",2009,10,5.56989247311828,3.87726189093811
"2081","Franklin",2009,11,3.46666666666667,3.24166173227819
"2082","Franklin",2009,12,-6.97967032967033,6.93379797330109
"2083","Franklin",2010,1,-8.39269662921348,6.82630503074902
"2084","Franklin",2010,2,-7.37619047619048,4.87908911723122
"2085","Franklin",2010,3,0.798387096774194,3.57167640895231
"2086","Franklin",2010,4,7.51,4.24093348850611
"2087","Franklin",2010,5,13.0252688172043,5.79654893419499
"2088","Franklin",2010,6,16.09,3.23986925800853
"2089","Franklin",2010,7,20.2849462365591,3.82862349644267
"2090","Franklin",2010,8,18.1306451612903,3.52054106821792
"2091","Franklin",2010,9,14.0916666666667,4.80757846888257
"2092","Franklin",2010,10,6.50322580645161,4.08392360929244
"2093","Franklin",2010,11,0.795833333333333,4.06895326216922
"2094","Franklin",2010,12,-7.59152542372881,6.07024365061163
"2095","Franklin",2011,1,-10.4879032258065,6.98999686603667
"2096","Franklin",2011,2,-9.25089285714286,5.82161716888349
"2097","Franklin",2011,3,-4.2008064516129,5.79530259139757
"2098","Franklin",2011,4,4.92166666666667,5.00224836454219
"2099","Franklin",2011,5,12.4951612903226,4.92829493406853
"2100","Franklin",2011,6,16.86,3.38143986982178
"2101","Franklin",2011,7,19.8451612903226,2.95965646097678
"2102","Franklin",2011,8,18.0016129032258,2.52226101634721
"2103","Franklin",2011,9,15.3066666666667,4.18838655342412
"2104","Franklin",2011,10,7.82096774193548,4.97988205459034
"2105","Franklin",2011,11,4.41,4.79808224401573
"2106","Franklin",2011,12,-3.27258064516129,5.67374364961852
"2107","Franklin",2012,1,-7.5,6.80338030735879
"2108","Franklin",2012,2,-5.58035714285714,4.98392578533893
"2109","Franklin",2012,3,2.98870967741935,7.80443557864477
"2110","Franklin",2012,4,4.405,4.38683218395342
"2111","Franklin",2012,5,13.7693548387097,4.59724930978163
"2112","Franklin",2012,6,16.5216666666667,4.58704297743504
"2113","Franklin",2012,7,19.0024193548387,3.11293477336513
"2114","Franklin",2012,8,18.6991935483871,3.51821363874148
"2115","Franklin",2012,9,13.48,4.540889556695
"2116","Franklin",2012,10,8.83951612903226,4.03083542063679
