"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Month"	"Month Code"	"Tobacco Use"	"Tobacco Use Code"	Births	Average Birth Weight	Average Age of Mother	Average LMP Gestational Age	Average OE Gestational Age
	"Albany County, NY"	"36001"	"2007"	"2007"	"January"	"1"	"Yes"	"1"	34	2944.91	26.79	39.00	38.50
	"Albany County, NY"	"36001"	"2007"	"2007"	"January"	"1"	"No"	"2"	244	3288.72	28.77	38.97	38.84
	"Albany County, NY"	"36001"	"2007"	"2007"	"February"	"2"	"Yes"	"1"	16	3203.81	26.25	38.56	37.94
	"Albany County, NY"	"36001"	"2007"	"2007"	"February"	"2"	"No"	"2"	190	3305.96	29.13	38.57	38.46
	"Albany County, NY"	"36001"	"2007"	"2007"	"March"	"3"	"Yes"	"1"	33	3192.18	27.06	38.88	38.64
	"Albany County, NY"	"36001"	"2007"	"2007"	"March"	"3"	"No"	"2"	254	3321.34	29.43	38.65	38.48
	"Albany County, NY"	"36001"	"2007"	"2007"	"April"	"4"	"Yes"	"1"	23	3048.52	26.09	38.04	37.48
	"Albany County, NY"	"36001"	"2007"	"2007"	"April"	"4"	"No"	"2"	243	3348.57	29.46	38.79	38.71
	"Albany County, NY"	"36001"	"2007"	"2007"	"May"	"5"	"Yes"	"1"	29	3125.21	26.69	38.00	38.45
	"Albany County, NY"	"36001"	"2007"	"2007"	"May"	"5"	"No"	"2"	237	3331.66	28.92	38.83	38.54
	"Albany County, NY"	"36001"	"2007"	"2007"	"June"	"6"	"Yes"	"1"	32	3061.88	26.56	37.97	38.16
	"Albany County, NY"	"36001"	"2007"	"2007"	"June"	"6"	"No"	"2"	230	3237.83	29.44	38.43	38.39
	"Albany County, NY"	"36001"	"2007"	"2007"	"July"	"7"	"Yes"	"1"	27	3159.63	26.74	38.85	38.52
	"Albany County, NY"	"36001"	"2007"	"2007"	"July"	"7"	"No"	"2"	260	3399.32	28.44	38.93	38.90
	"Albany County, NY"	"36001"	"2007"	"2007"	"August"	"8"	"Yes"	"1"	23	2989.50	26.09	37.00	37.00
	"Albany County, NY"	"36001"	"2007"	"2007"	"August"	"8"	"No"	"2"	255	3328.73	29.04	38.73	38.74
	"Albany County, NY"	"36001"	"2007"	"2007"	"September"	"9"	"Yes"	"1"	32	3058.72	26.59	39.00	38.75
	"Albany County, NY"	"36001"	"2007"	"2007"	"September"	"9"	"No"	"2"	238	3272.46	28.57	38.75	38.55
	"Albany County, NY"	"36001"	"2007"	"2007"	"October"	"10"	"Yes"	"1"	24	3118.79	27.71	39.21	38.88
	"Albany County, NY"	"36001"	"2007"	"2007"	"October"	"10"	"No"	"2"	231	3356.32	29.37	38.87	38.81
	"Albany County, NY"	"36001"	"2007"	"2007"	"November"	"11"	"Yes"	"1"	35	2848.29	25.57	37.40	37.57
	"Albany County, NY"	"36001"	"2007"	"2007"	"November"	"11"	"No"	"2"	206	3324.16	29.19	38.88	38.72
	"Albany County, NY"	"36001"	"2007"	"2007"	"December"	"12"	"Yes"	"1"	30	3320.50	24.33	39.23	38.73
	"Albany County, NY"	"36001"	"2007"	"2007"	"December"	"12"	"No"	"2"	224	3336.65	28.86	38.54	38.32
	"Albany County, NY"	"36001"	"2008"	"2008"	"January"	"1"	"Yes"	"1"	36	3084.69	26.17	38.42	38.14
	"Albany County, NY"	"36001"	"2008"	"2008"	"January"	"1"	"No"	"2"	213	3229.87	28.62	38.28	37.97
	"Albany County, NY"	"36001"	"2008"	"2008"	"February"	"2"	"Yes"	"1"	26	3172.96	28.38	38.12	38.35
	"Albany County, NY"	"36001"	"2008"	"2008"	"February"	"2"	"No"	"2"	199	3321.63	29.02	38.98	38.71
	"Albany County, NY"	"36001"	"2008"	"2008"	"March"	"3"	"Yes"	"1"	35	2986.94	27.06	38.09	37.77
	"Albany County, NY"	"36001"	"2008"	"2008"	"March"	"3"	"No"	"2"	215	3347.93	29.01	38.75	38.61
	"Albany County, NY"	"36001"	"2008"	"2008"	"April"	"4"	"Yes"	"1"	29	3308.66	27.34	39.45	38.38
	"Albany County, NY"	"36001"	"2008"	"2008"	"April"	"4"	"No"	"2"	245	3380.20	29.76	38.78	38.63
	"Albany County, NY"	"36001"	"2008"	"2008"	"May"	"5"	"Yes"	"1"	33	3246.85	25.15	38.45	38.85
	"Albany County, NY"	"36001"	"2008"	"2008"	"May"	"5"	"No"	"2"	218	3288.20	29.58	38.78	38.49
	"Albany County, NY"	"36001"	"2008"	"2008"	"June"	"6"	"Yes"	"1"	29	3009.34	27.28	38.17	37.97
	"Albany County, NY"	"36001"	"2008"	"2008"	"June"	"6"	"No"	"2"	209	3305.76	29.45	38.68	38.57
	"Albany County, NY"	"36001"	"2008"	"2008"	"July"	"7"	"Yes"	"1"	27	3015.11	26.70	38.48	38.26
	"Albany County, NY"	"36001"	"2008"	"2008"	"July"	"7"	"No"	"2"	235	3387.21	29.34	38.84	38.80
	"Albany County, NY"	"36001"	"2008"	"2008"	"August"	"8"	"Yes"	"1"	40	2907.15	26.50	38.35	37.65
	"Albany County, NY"	"36001"	"2008"	"2008"	"August"	"8"	"No"	"2"	242	3352.50	29.17	38.76	38.65
	"Albany County, NY"	"36001"	"2008"	"2008"	"September"	"9"	"Yes"	"1"	40	2875.88	26.62	38.40	38.12
	"Albany County, NY"	"36001"	"2008"	"2008"	"September"	"9"	"No"	"2"	247	3354.93	28.81	38.83	38.74
	"Albany County, NY"	"36001"	"2008"	"2008"	"October"	"10"	"Yes"	"1"	41	2964.80	25.02	38.44	37.95
	"Albany County, NY"	"36001"	"2008"	"2008"	"October"	"10"	"No"	"2"	247	3283.79	29.08	38.86	38.62
	"Albany County, NY"	"36001"	"2008"	"2008"	"November"	"11"	"Yes"	"1"	27	2984.22	27.67	37.26	37.41
	"Albany County, NY"	"36001"	"2008"	"2008"	"November"	"11"	"No"	"2"	195	3287.91	28.90	38.40	38.24
	"Albany County, NY"	"36001"	"2008"	"2008"	"December"	"12"	"Yes"	"1"	26	3078.19	25.77	38.69	38.27
	"Albany County, NY"	"36001"	"2008"	"2008"	"December"	"12"	"No"	"2"	223	3447.81	29.34	39.00	38.88
	"Albany County, NY"	"36001"	"2009"	"2009"	"January"	"1"	"Yes"	"1"	25	3207.48	26.80	38.40	38.28
	"Albany County, NY"	"36001"	"2009"	"2009"	"January"	"1"	"No"	"2"	245	3257.49	28.44	38.41	38.29
	"Albany County, NY"	"36001"	"2009"	"2009"	"February"	"2"	"Yes"	"1"	28	3249.82	28.07	39.71	39.36
	"Albany County, NY"	"36001"	"2009"	"2009"	"February"	"2"	"No"	"2"	233	3343.91	29.03	38.92	38.74
	"Albany County, NY"	"36001"	"2009"	"2009"	"March"	"3"	"Yes"	"1"	35	3123.60	27.00	38.49	38.54
	"Albany County, NY"	"36001"	"2009"	"2009"	"March"	"3"	"No"	"2"	240	3340.52	28.77	38.55	38.45
	"Albany County, NY"	"36001"	"2009"	"2009"	"April"	"4"	"Yes"	"1"	25	3115.28	26.72	39.04	38.88
	"Albany County, NY"	"36001"	"2009"	"2009"	"April"	"4"	"No"	"2"	228	3380.86	29.08	38.95	38.90
	"Albany County, NY"	"36001"	"2009"	"2009"	"May"	"5"	"Yes"	"1"	31	3255.61	25.35	39.10	39.00
	"Albany County, NY"	"36001"	"2009"	"2009"	"May"	"5"	"No"	"2"	257	3360.97	29.45	38.80	38.81
	"Albany County, NY"	"36001"	"2009"	"2009"	"June"	"6"	"Yes"	"1"	31	2758.35	24.55	36.74	36.68
	"Albany County, NY"	"36001"	"2009"	"2009"	"June"	"6"	"No"	"2"	230	3390.46	27.88	38.71	38.67
	"Albany County, NY"	"36001"	"2009"	"2009"	"July"	"7"	"Yes"	"1"	34	3112.29	29.15	38.74	38.38
	"Albany County, NY"	"36001"	"2009"	"2009"	"July"	"7"	"No"	"2"	246	3269.76	28.60	38.46	38.41
	"Albany County, NY"	"36001"	"2009"	"2009"	"August"	"8"	"Yes"	"1"	32	3123.41	26.53	38.12	37.94
	"Albany County, NY"	"36001"	"2009"	"2009"	"August"	"8"	"No"	"2"	219	3221.82	28.92	38.43	38.31
	"Albany County, NY"	"36001"	"2009"	"2009"	"September"	"9"	"Yes"	"1"	30	3157.20	25.57	38.20	38.23
	"Albany County, NY"	"36001"	"2009"	"2009"	"September"	"9"	"No"	"2"	235	3327.59	28.83	38.91	38.65
	"Albany County, NY"	"36001"	"2009"	"2009"	"October"	"10"	"Yes"	"1"	24	3271.29	24.46	39.58	38.83
	"Albany County, NY"	"36001"	"2009"	"2009"	"October"	"10"	"No"	"2"	205	3325.71	29.08	38.56	38.51
	"Albany County, NY"	"36001"	"2009"	"2009"	"November"	"11"	"Yes"	"1"	25	2888.44	27.28	39.28	38.32
	"Albany County, NY"	"36001"	"2009"	"2009"	"November"	"11"	"No"	"2"	206	3281.61	29.04	38.74	38.60
	"Albany County, NY"	"36001"	"2009"	"2009"	"December"	"12"	"Yes"	"1"	22	3066.59	27.82	38.77	38.64
	"Albany County, NY"	"36001"	"2009"	"2009"	"December"	"12"	"No"	"2"	231	3390.32	28.96	38.89	38.83
	"Albany County, NY"	"36001"	"2010"	"2010"	"January"	"1"	"Yes"	"1"	18	3019.89	26.06	38.28	38.28
	"Albany County, NY"	"36001"	"2010"	"2010"	"January"	"1"	"No"	"2"	224	3311.42	29.30	38.88	38.59
	"Albany County, NY"	"36001"	"2010"	"2010"	"February"	"2"	"Yes"	"1"	22	3341.41	27.14	39.32	38.59
	"Albany County, NY"	"36001"	"2010"	"2010"	"February"	"2"	"No"	"2"	217	3309.38	28.30	38.80	38.63
	"Albany County, NY"	"36001"	"2010"	"2010"	"March"	"3"	"Yes"	"1"	35	2837.97	26.06	37.91	37.60
	"Albany County, NY"	"36001"	"2010"	"2010"	"March"	"3"	"No"	"2"	225	3352.78	29.72	38.61	38.55
	"Albany County, NY"	"36001"	"2010"	"2010"	"April"	"4"	"Yes"	"1"	23	3131.26	26.00	38.96	38.61
	"Albany County, NY"	"36001"	"2010"	"2010"	"April"	"4"	"No"	"2"	235	3367.43	29.66	39.03	38.87
	"Albany County, NY"	"36001"	"2010"	"2010"	"May"	"5"	"Yes"	"1"	13	2949.00	27.38	37.62	37.92
	"Albany County, NY"	"36001"	"2010"	"2010"	"May"	"5"	"No"	"2"	233	3331.65	29.52	38.67	38.67
	"Albany County, NY"	"36001"	"2010"	"2010"	"June"	"6"	"Yes"	"1"	22	3386.32	27.41	38.41	38.55
	"Albany County, NY"	"36001"	"2010"	"2010"	"June"	"6"	"No"	"2"	244	3354.15	28.82	38.86	38.80
	"Albany County, NY"	"36001"	"2010"	"2010"	"July"	"7"	"Yes"	"1"	24	2836.83	27.58	37.25	36.88
	"Albany County, NY"	"36001"	"2010"	"2010"	"July"	"7"	"No"	"2"	243	3392.29	29.02	39.02	39.00
	"Albany County, NY"	"36001"	"2010"	"2010"	"August"	"8"	"Yes"	"1"	25	2751.44	24.36	37.56	36.84
	"Albany County, NY"	"36001"	"2010"	"2010"	"August"	"8"	"No"	"2"	213	3395.82	29.32	39.26	38.96
	"Albany County, NY"	"36001"	"2010"	"2010"	"September"	"9"	"Yes"	"1"	24	2984.62	27.79	38.04	37.75
	"Albany County, NY"	"36001"	"2010"	"2010"	"September"	"9"	"No"	"2"	244	3317.23	29.53	38.77	38.59
	"Albany County, NY"	"36001"	"2010"	"2010"	"October"	"10"	"Yes"	"1"	26	2594.35	26.96	36.31	36.19
	"Albany County, NY"	"36001"	"2010"	"2010"	"October"	"10"	"No"	"2"	230	3342.68	29.44	38.62	38.78
	"Albany County, NY"	"36001"	"2010"	"2010"	"November"	"11"	"Yes"	"1"	29	3195.93	27.10	37.97	37.97
	"Albany County, NY"	"36001"	"2010"	"2010"	"November"	"11"	"No"	"2"	199	3344.26	29.48	38.77	38.71
	"Albany County, NY"	"36001"	"2010"	"2010"	"December"	"12"	"Yes"	"1"	28	3116.43	27.04	38.75	38.46
	"Albany County, NY"	"36001"	"2010"	"2010"	"December"	"12"	"No"	"2"	235	3334.68	29.01	38.91	38.69
	"Albany County, NY"	"36001"	"2011"	"2011"	"January"	"1"	"Yes"	"1"	25	2958.64	29.12	37.72	37.52
	"Albany County, NY"	"36001"	"2011"	"2011"	"January"	"1"	"No"	"2"	227	3348.27	28.70	39.11	38.97
	"Albany County, NY"	"36001"	"2011"	"2011"	"February"	"2"	"Yes"	"1"	22	3119.86	25.32	38.41	38.50
	"Albany County, NY"	"36001"	"2011"	"2011"	"February"	"2"	"No"	"2"	230	3324.60	29.34	38.78	38.63
	"Albany County, NY"	"36001"	"2011"	"2011"	"March"	"3"	"Yes"	"1"	21	3120.24	26.71	37.76	37.90
	"Albany County, NY"	"36001"	"2011"	"2011"	"March"	"3"	"No"	"2"	237	3259.54	29.50	38.32	38.21
	"Albany County, NY"	"36001"	"2011"	"2011"	"April"	"4"	"Yes"	"1"	23	2921.57	27.26	37.30	37.65
	"Albany County, NY"	"36001"	"2011"	"2011"	"April"	"4"	"No"	"2"	209	3358.44	29.03	38.71	38.63
	"Albany County, NY"	"36001"	"2011"	"2011"	"May"	"5"	"Yes"	"1"	23	2853.00	28.00	36.22	36.35
	"Albany County, NY"	"36001"	"2011"	"2011"	"May"	"5"	"No"	"2"	221	3361.27	29.31	38.86	38.77
	"Albany County, NY"	"36001"	"2011"	"2011"	"June"	"6"	"Yes"	"1"	23	3173.78	27.74	39.26	38.78
	"Albany County, NY"	"36001"	"2011"	"2011"	"June"	"6"	"No"	"2"	246	3396.16	29.09	38.78	38.71
	"Albany County, NY"	"36001"	"2011"	"2011"	"July"	"7"	"Yes"	"1"	24	2994.96	26.83	38.00	37.88
	"Albany County, NY"	"36001"	"2011"	"2011"	"July"	"7"	"No"	"2"	243	3293.42	28.77	38.69	38.73
	"Albany County, NY"	"36001"	"2011"	"2011"	"August"	"8"	"Yes"	"1"	33	3096.97	28.33	38.03	38.27
	"Albany County, NY"	"36001"	"2011"	"2011"	"August"	"8"	"No"	"2"	217	3388.06	28.91	38.85	38.89
	"Albany County, NY"	"36001"	"2011"	"2011"	"September"	"9"	"Yes"	"1"	19	2693.37	27.74	36.32	35.89
	"Albany County, NY"	"36001"	"2011"	"2011"	"September"	"9"	"No"	"2"	255	3203.11	29.13	38.24	38.11
	"Albany County, NY"	"36001"	"2011"	"2011"	"October"	"10"	"Yes"	"1"	31	3256.06	26.97	39.58	39.48
	"Albany County, NY"	"36001"	"2011"	"2011"	"October"	"10"	"No"	"2"	222	3259.87	29.47	38.59	38.50
	"Albany County, NY"	"36001"	"2011"	"2011"	"November"	"11"	"Yes"	"1"	22	3189.86	25.95	38.59	38.41
	"Albany County, NY"	"36001"	"2011"	"2011"	"November"	"11"	"No"	"2"	237	3281.05	28.92	38.57	38.55
	"Albany County, NY"	"36001"	"2011"	"2011"	"December"	"12"	"Yes"	"1"	31	3227.29	28.26	39.06	38.74
	"Albany County, NY"	"36001"	"2011"	"2011"	"December"	"12"	"No"	"2"	232	3321.18	29.07	38.62	38.58
	"Albany County, NY"	"36001"	"2012"	"2012"	"January"	"1"	"Yes"	"1"	32	3129.72	28.12	38.53	38.38
	"Albany County, NY"	"36001"	"2012"	"2012"	"January"	"1"	"No"	"2"	237	3319.53	28.35	38.92	38.59
	"Albany County, NY"	"36001"	"2012"	"2012"	"February"	"2"	"Yes"	"1"	29	3147.83	25.34	38.66	38.34
	"Albany County, NY"	"36001"	"2012"	"2012"	"February"	"2"	"No"	"2"	199	3300.29	28.58	38.65	38.46
	"Albany County, NY"	"36001"	"2012"	"2012"	"March"	"3"	"Yes"	"1"	36	2963.67	27.94	37.61	37.33
	"Albany County, NY"	"36001"	"2012"	"2012"	"March"	"3"	"No"	"2"	204	3263.08	29.50	38.31	38.26
	"Albany County, NY"	"36001"	"2012"	"2012"	"April"	"4"	"Yes"	"1"	22	3082.14	26.50	38.59	38.00
	"Albany County, NY"	"36001"	"2012"	"2012"	"April"	"4"	"No"	"2"	225	3279.81	28.90	38.56	38.30
	"Albany County, NY"	"36001"	"2012"	"2012"	"May"	"5"	"Yes"	"1"	31	3200.32	27.58	38.71	38.45
	"Albany County, NY"	"36001"	"2012"	"2012"	"May"	"5"	"No"	"2"	238	3265.90	29.03	38.51	38.37
	"Albany County, NY"	"36001"	"2012"	"2012"	"June"	"6"	"Yes"	"1"	27	3207.15	28.59	38.52	38.59
	"Albany County, NY"	"36001"	"2012"	"2012"	"June"	"6"	"No"	"2"	209	3352.92	29.76	38.82	38.70
	"Albany County, NY"	"36001"	"2012"	"2012"	"July"	"7"	"Yes"	"1"	36	2898.72	28.14	37.72	37.36
	"Albany County, NY"	"36001"	"2012"	"2012"	"July"	"7"	"No"	"2"	236	3339.78	29.08	38.66	38.62
	"Albany County, NY"	"36001"	"2012"	"2012"	"August"	"8"	"Yes"	"1"	27	2827.96	27.19	37.63	37.59
	"Albany County, NY"	"36001"	"2012"	"2012"	"August"	"8"	"No"	"2"	282	3332.21	29.53	38.74	38.65
	"Albany County, NY"	"36001"	"2012"	"2012"	"September"	"9"	"Yes"	"1"	31	3186.81	27.29	39.23	39.03
	"Albany County, NY"	"36001"	"2012"	"2012"	"September"	"9"	"No"	"2"	232	3321.02	28.80	38.99	38.81
	"Albany County, NY"	"36001"	"2012"	"2012"	"October"	"10"	"Yes"	"1"	41	3283.61	27.44	38.77	38.42
	"Albany County, NY"	"36001"	"2012"	"2012"	"October"	"10"	"No"	"2"	228	3335.84	29.78	38.83	38.62
	"Albany County, NY"	"36001"	"2012"	"2012"	"November"	"11"	"Yes"	"1"	34	3231.03	28.09	39.06	38.88
	"Albany County, NY"	"36001"	"2012"	"2012"	"November"	"11"	"No"	"2"	207	3317.84	28.76	38.88	38.81
	"Albany County, NY"	"36001"	"2012"	"2012"	"December"	"12"	"Yes"	"1"	27	3288.67	28.56	38.93	39.04
	"Albany County, NY"	"36001"	"2012"	"2012"	"December"	"12"	"No"	"2"	217	3363.53	30.15	38.88	38.75
	"Albany County, NY"	"36001"	"2013"	"2013"	"January"	"1"	"Yes"	"1"	32	3148.28	26.69	38.75	38.50
	"Albany County, NY"	"36001"	"2013"	"2013"	"January"	"1"	"No"	"2"	219	3246.11	29.41	38.26	38.14
	"Albany County, NY"	"36001"	"2013"	"2013"	"February"	"2"	"Yes"	"1"	23	3254.65	25.74	39.39	38.57
	"Albany County, NY"	"36001"	"2013"	"2013"	"February"	"2"	"No"	"2"	200	3312.19	29.06	38.63	38.44
	"Albany County, NY"	"36001"	"2013"	"2013"	"March"	"3"	"Yes"	"1"	31	2993.55	26.13	38.35	38.06
	"Albany County, NY"	"36001"	"2013"	"2013"	"March"	"3"	"No"	"2"	240	3242.53	29.48	38.42	38.50
	"Albany County, NY"	"36001"	"2013"	"2013"	"April"	"4"	"Yes"	"1"	21	3121.33	26.57	37.67	37.29
	"Albany County, NY"	"36001"	"2013"	"2013"	"April"	"4"	"No"	"2"	222	3295.73	28.87	38.81	38.59
	"Albany County, NY"	"36001"	"2013"	"2013"	"May"	"5"	"Yes"	"1"	30	2961.60	26.83	37.23	37.47
	"Albany County, NY"	"36001"	"2013"	"2013"	"May"	"5"	"No"	"2"	239	3307.75	29.48	38.69	38.67
	"Albany County, NY"	"36001"	"2013"	"2013"	"June"	"6"	"Yes"	"1"	26	3149.35	27.46	37.92	38.00
	"Albany County, NY"	"36001"	"2013"	"2013"	"June"	"6"	"No"	"2"	239	3425.78	29.90	39.05	39.01
	"Albany County, NY"	"36001"	"2013"	"2013"	"July"	"7"	"Yes"	"1"	38	2842.26	27.84	37.05	37.08
	"Albany County, NY"	"36001"	"2013"	"2013"	"July"	"7"	"No"	"2"	251	3381.30	30.25	38.91	38.84
	"Albany County, NY"	"36001"	"2013"	"2013"	"August"	"8"	"Yes"	"1"	26	2930.19	28.46	37.50	37.31
	"Albany County, NY"	"36001"	"2013"	"2013"	"August"	"8"	"No"	"2"	235	3274.76	29.31	38.51	38.54
	"Albany County, NY"	"36001"	"2013"	"2013"	"September"	"9"	"Yes"	"1"	28	3124.79	27.29	39.39	38.54
	"Albany County, NY"	"36001"	"2013"	"2013"	"September"	"9"	"No"	"2"	220	3346.22	29.65	38.88	38.87
	"Albany County, NY"	"36001"	"2013"	"2013"	"October"	"10"	"Yes"	"1"	26	3122.96	27.27	38.65	38.38
	"Albany County, NY"	"36001"	"2013"	"2013"	"October"	"10"	"No"	"2"	237	3265.76	29.24	38.57	38.66
	"Albany County, NY"	"36001"	"2013"	"2013"	"November"	"11"	"Yes"	"1"	27	2977.26	28.30	38.00	38.22
	"Albany County, NY"	"36001"	"2013"	"2013"	"November"	"11"	"No"	"2"	219	3401.97	30.31	38.58	38.57
	"Albany County, NY"	"36001"	"2013"	"2013"	"December"	"12"	"Yes"	"1"	26	2890.54	26.96	37.73	37.31
	"Albany County, NY"	"36001"	"2013"	"2013"	"December"	"12"	"No"	"2"	229	3308.47	29.28	38.79	38.62
	"Albany County, NY"	"36001"	"2014"	"2014"	"January"	"1"	"Yes"	"1"	42	3149.86	27.60	38.57	38.55
	"Albany County, NY"	"36001"	"2014"	"2014"	"January"	"1"	"No"	"2"	231	3341.75	29.49	38.90	38.86
	"Albany County, NY"	"36001"	"2014"	"2014"	"February"	"2"	"Yes"	"1"	26	3383.35	27.58	38.46	38.54
	"Albany County, NY"	"36001"	"2014"	"2014"	"February"	"2"	"No"	"2"	209	3260.90	29.35	38.62	38.42
	"Albany County, NY"	"36001"	"2014"	"2014"	"March"	"3"	"Yes"	"1"	22	3115.32	27.50	38.36	38.50
	"Albany County, NY"	"36001"	"2014"	"2014"	"March"	"3"	"No"	"2"	257	3300.05	29.46	38.69	38.69
	"Albany County, NY"	"36001"	"2014"	"2014"	"April"	"4"	"Yes"	"1"	17	3225.41	26.29	39.18	38.65
	"Albany County, NY"	"36001"	"2014"	"2014"	"April"	"4"	"No"	"2"	204	3349.89	30.17	38.53	38.62
	"Albany County, NY"	"36001"	"2014"	"2014"	"May"	"5"	"Yes"	"1"	30	2991.80	27.13	37.63	37.60
	"Albany County, NY"	"36001"	"2014"	"2014"	"May"	"5"	"No"	"2"	245	3332.71	30.26	38.68	38.57
	"Albany County, NY"	"36001"	"2014"	"2014"	"June"	"6"	"Yes"	"1"	27	2921.33	28.52	37.11	37.70
	"Albany County, NY"	"36001"	"2014"	"2014"	"June"	"6"	"No"	"2"	227	3327.59	29.55	38.96	38.90
	"Albany County, NY"	"36001"	"2014"	"2014"	"July"	"7"	"Yes"	"1"	23	2975.65	28.00	38.48	38.65
	"Albany County, NY"	"36001"	"2014"	"2014"	"July"	"7"	"No"	"2"	256	3388.61	29.68	38.88	38.84
	"Albany County, NY"	"36001"	"2014"	"2014"	"August"	"8"	"Yes"	"1"	19	2851.05	27.37	37.47	37.63
	"Albany County, NY"	"36001"	"2014"	"2014"	"August"	"8"	"No"	"2"	245	3360.46	28.90	38.80	38.80
	"Albany County, NY"	"36001"	"2014"	"2014"	"September"	"9"	"Yes"	"1"	29	3085.28	28.62	38.62	38.38
	"Albany County, NY"	"36001"	"2014"	"2014"	"September"	"9"	"No"	"2"	236	3451.39	29.88	39.23	39.14
	"Albany County, NY"	"36001"	"2014"	"2014"	"October"	"10"	"Yes"	"1"	24	3138.38	28.67	38.58	38.67
	"Albany County, NY"	"36001"	"2014"	"2014"	"October"	"10"	"No"	"2"	221	3378.00	30.48	38.91	38.88
	"Albany County, NY"	"36001"	"2014"	"2014"	"November"	"11"	"Yes"	"1"	24	3194.00	28.00	38.83	38.75
	"Albany County, NY"	"36001"	"2014"	"2014"	"November"	"11"	"No"	"2"	239	3279.51	29.26	38.66	38.48
	"Albany County, NY"	"36001"	"2014"	"2014"	"December"	"12"	"Yes"	"1"	29	2667.76	27.10	37.31	36.83
	"Albany County, NY"	"36001"	"2014"	"2014"	"December"	"12"	"No"	"2"	227	3328.22	30.17	38.71	38.61
	"Albany County, NY"	"36001"	"2015"	"2015"	"January"	"1"	"Yes"	"1"	24	3226.83	29.04	39.00	38.83
	"Albany County, NY"	"36001"	"2015"	"2015"	"January"	"1"	"No"	"2"	246	3300.21	29.37	38.76	38.73
	"Albany County, NY"	"36001"	"2015"	"2015"	"February"	"2"	"Yes"	"1"	20	3160.70	27.85	39.00	38.60
	"Albany County, NY"	"36001"	"2015"	"2015"	"February"	"2"	"No"	"2"	212	3329.14	29.29	39.08	38.83
	"Albany County, NY"	"36001"	"2015"	"2015"	"March"	"3"	"Yes"	"1"	20	3034.00	28.35	38.40	37.90
	"Albany County, NY"	"36001"	"2015"	"2015"	"March"	"3"	"No"	"2"	218	3299.50	29.25	38.85	38.91
	"Albany County, NY"	"36001"	"2015"	"2015"	"April"	"4"	"Yes"	"1"	36	3028.22	29.75	37.83	37.81
	"Albany County, NY"	"36001"	"2015"	"2015"	"April"	"4"	"No"	"2"	207	3407.28	30.42	39.03	38.98
	"Albany County, NY"	"36001"	"2015"	"2015"	"May"	"5"	"Yes"	"1"	16	2727.31	28.81	36.81	36.31
	"Albany County, NY"	"36001"	"2015"	"2015"	"May"	"5"	"No"	"2"	248	3361.87	29.83	38.93	38.86
	"Albany County, NY"	"36001"	"2015"	"2015"	"June"	"6"	"Yes"	"1"	20	3194.95	26.90	39.35	39.00
	"Albany County, NY"	"36001"	"2015"	"2015"	"June"	"6"	"No"	"2"	258	3276.24	29.91	38.69	38.59
	"Albany County, NY"	"36001"	"2015"	"2015"	"July"	"7"	"Yes"	"1"	20	2985.75	28.45	38.55	38.05
	"Albany County, NY"	"36001"	"2015"	"2015"	"July"	"7"	"No"	"2"	251	3340.26	30.42	38.65	38.65
	"Albany County, NY"	"36001"	"2015"	"2015"	"August"	"8"	"Yes"	"1"	29	3033.79	28.93	39.17	38.38
	"Albany County, NY"	"36001"	"2015"	"2015"	"August"	"8"	"No"	"2"	251	3323.31	30.06	38.86	38.71
	"Albany County, NY"	"36001"	"2015"	"2015"	"September"	"9"	"Yes"	"1"	24	3443.83	27.54	39.33	39.04
	"Albany County, NY"	"36001"	"2015"	"2015"	"September"	"9"	"No"	"2"	250	3374.34	29.76	39.12	38.96
	"Albany County, NY"	"36001"	"2015"	"2015"	"October"	"10"	"Yes"	"1"	17	3195.65	28.53	39.12	38.82
	"Albany County, NY"	"36001"	"2015"	"2015"	"October"	"10"	"No"	"2"	212	3330.75	29.90	38.93	38.84
	"Albany County, NY"	"36001"	"2015"	"2015"	"November"	"11"	"Yes"	"1"	27	3157.26	28.96	38.44	38.74
	"Albany County, NY"	"36001"	"2015"	"2015"	"November"	"11"	"No"	"2"	230	3349.69	30.17	38.77	38.67
	"Albany County, NY"	"36001"	"2015"	"2015"	"December"	"12"	"Yes"	"1"	25	3089.36	28.44	38.16	38.16
	"Albany County, NY"	"36001"	"2015"	"2015"	"December"	"12"	"No"	"2"	232	3345.78	29.79	39.00	38.91
	"Albany County, NY"	"36001"	"2016"	"2016"	"January"	"1"	"Yes"	"1"	22	2930.82	28.32	38.23	38.23
	"Albany County, NY"	"36001"	"2016"	"2016"	"January"	"1"	"No"	"2"	245	3325.41	29.57	38.91	38.76
	"Albany County, NY"	"36001"	"2016"	"2016"	"February"	"2"	"Yes"	"1"	23	3052.83	27.70	39.00	38.70
	"Albany County, NY"	"36001"	"2016"	"2016"	"February"	"2"	"No"	"2"	205	3298.35	29.75	38.73	38.74
	"Albany County, NY"	"36001"	"2016"	"2016"	"March"	"3"	"Yes"	"1"	29	3151.97	28.48	38.14	37.93
	"Albany County, NY"	"36001"	"2016"	"2016"	"March"	"3"	"No"	"2"	249	3319.08	30.31	38.55	38.42
	"Albany County, NY"	"36001"	"2016"	"2016"	"April"	"4"	"Yes"	"1"	26	3168.31	28.46	38.73	38.96
	"Albany County, NY"	"36001"	"2016"	"2016"	"April"	"4"	"No"	"2"	235	3264.97	30.65	38.78	38.51
